InstanceID,InstanceName,IPAddress,InstanceType
i-0f25570507cc1f00d,sabadev3,10.90.203.17,m6i.2xlarge
i-0db8e682d6dbc6266,sabaqa1,10.90.203.135,m6i.2xlarge
i-0b805090f77adcd8b,sabaqa2,10.90.202.101,m6i.2xlarge
i-0d928dae5e7439478,mtnJenkinsAgent,10.90.202.126,m6i.2xlarge
i-0e18859e1fbe68f2e,taldev01,10.90.202.114,m6i.2xlarge
i-009a8ea6dcc1ea42e,taldev02,10.90.203.173,m6i.2xlarge
i-08bf9e26eeb878f8b,taldev03,10.90.203.253,m6i.2xlarge
i-0c672a76c6e5b8238,taldev04,10.90.203.158,m6i.2xlarge
i-020c399a8a2926e7c,taldev05,10.90.202.203,m6i.2xlarge
i-0fb4f7a0772448aa9,talqa01,10.90.202.250,m6i.2xlarge
i-0352935eaead7ca86,talqa02,10.90.203.186,m6i.2xlarge
i-035335ad72605caac,talqa03,10.90.203.165,m6i.2xlarge
i-07bff37cdac0c4915,talqa04,10.90.202.182,m6i.2xlarge
i-0f2d7fe633910d457,taldemo1,10.90.203.81,m6i.2xlarge
i-0592a2d01f322a831,taldemo2,10.90.202.112,m6i.2xlarge
i-03e545b25d695da3f,taldemo3,10.90.203.19,m6i.2xlarge
i-07eb0ea530dc8175f,wifi-node-1,10.90.202.154,c6i.xlarge
i-09b68fc72f2fc9e6f,wifi-node-2,10.90.202.59,c6i.xlarge
i-04004cc04974d4cdc,wifi-node-3,10.90.202.219,c6i.xlarge
i-0bc463b029c5a05a6,wifi-jenkins-node-1,10.90.202.62,m6i.xlarge
i-0b4d421b5d7fcb649,YTL Jenkins node,10.90.202.44,m6i.xlarge
i-0e7880caf6698b628,LA-node-2,10.90.203.172,m6i.xlarge
i-0c6e920680c7b4208,LA-Jenkins,10.90.203.182,m6i.xlarge
i-0b2ea35f8d6e1e4d9,LA-NGT,10.90.203.192,m6i.xlarge
i-0e1167365ae371620,MT-Nokia,10.90.202.115,m6i.xlarge
i-00b4af7782ca88e34,PE_GUI,10.90.202.196,c5.2xlarge
i-08f5c7fdc4a0cb559,Analytics_GUI,10.90.203.7,c5.2xlarge
i-036ae15077630885d,SMP-Simulator,10.90.202.29,t2.medium
i-03b01084ca029532e,EMS,10.90.203.223,c5.xlarge
i-0d2afffdaf821b6c1,STL_AAA_SM,10.90.203.13,m5.2xlarge
i-09c4d852e30032ab4,STL_AAA,10.90.203.204,m5.2xlarge
i-016a5d19ba91927ba,AdServer,10.90.203.207,m5.2xlarge
i-0201bacf4ca997583,WiFi_SMP,10.90.203.72,m5.2xlarge
i-0ce811cb66bf03f67,ANDSF-QA,10.90.203.16,m5.2xlarge
i-0a0297fe22adb6816,AAA-Devloper_RND,10.90.203.128,m5.2xlarge
i-091858b1a5bfb76a6,AAA-Automation,10.90.203.18,m5.2xlarge
i-04a0daee3271e342e,svn-windows-client,10.90.203.57,m6i.2xlarge
i-0d4de72a5c97f433c,Map-Gateway_VF,10.90.202.185,t2.medium
i-04435f15e5aa1c8f4,SmartMobilityOffload,10.90.203.217,m4.xlarge
i-08d07d2516a7a9beb,Captive_Portal,10.90.202.162,m4.xlarge
i-04a54c3652599985b,YTL-Jenkins-220,10.90.203.55,c6i.2xlarge
i-03b6add65d3d94dcc,LA-BRM-228,10.90.202.210,m6i.2xlarge
i-05fc3e6d90e8887ca, DSL_HW_Refresh-node1,10.90.203.145,c6i.xlarge
i-02583b112ecc53ddc, DSL_HW_Refresh-node2,10.90.203.63,c6i.xlarge
i-0ddd086876b35eb09,Jira-Live,10.90.203.157,m6i.xlarge
i-0ff9a1ea2d8174ea2,Jump-TAL,10.90.203.199,t2.medium
i-0a8f37515d5b2976b,MTN-DEP-JAGENT,10.90.203.42,m6i.2xlarge
i-06c85257f5a513e8b,Airtel Fixed Node-2,10.90.203.237,m6i.xlarge
i-083ffda7713f2ceec,Airtel Fixed Node-3,10.90.203.114,m6i.xlarge
i-038b58ad1b1369a61,Umniah-node1,10.90.203.25,c6i.2xlarge
i-06b5d092c90994cd5,Airtel Fixed Node-1,10.90.203.249,m6i.xlarge
i-07f624e8610d69ead,Intellza-Jenkins-agent,10.90.203.134,m6i.xlarge
i-035c14dc4b004fb2b,zabbix-node-1,10.90.203.129,c6i.large
i-02d49ece76cf265ba,Platfrom-R&D,10.90.203.250,t2.micro
i-09cf45ee97f63a97f,Airtel Fixed Node-4,10.90.203.214,m6i.xlarge
i-025d9d0ff4789dce1,wifi-node-4,10.90.202.252,m5.large
i-09e232b54726f26ba,intellza-Dev-1,10.90.202.193,c6i.2xlarge
i-065a3bb6f28ff87df,intellza-Dev-2,10.90.203.239,c6i.2xlarge
i-0f77367e5f1af7638,intellza-Dev-3,10.90.202.39,c6i.2xlarge
i-0b11e65ac663354ee,intellza-Dev-4,10.90.202.166,c6i.2xlarge
i-0e42b46715648eafc,intellza-Dev-5,10.90.203.200,c6i.2xlarge
i-06d60ff9b6b9c4a31,228-backup,10.90.202.55,c6i.xlarge
i-0328c37d4cdada55f,220-backup,10.90.202.251,c6i.xlarge
i-0846c424a17afc455,Airtel-Node,10.90.202.204,m6i.xlarge
i-0daf5e7e8eb7debf1,Airtel Fixed Node-5,10.90.202.78,m6i.xlarge
i-00d2ad58e9b618832,GCP-tool,10.90.202.190,m6i.xlarge
i-085b9e3a541326dcc,Airtel-Paco-IPDR-1,10.90.202.36,m6i.xlarge
i-0dd7f64b8dd8bb92a,Airtel-Paco-IPDR-2,10.90.203.119,m6i.xlarge
i-0b4ccc11aab072d3b,AWS-CLI-S3bucket,10.90.203.160,m5.xlarge
i-021b5e47dcb2fac5b,squid-proxy-Firewall,10.90.203.10,t2.medium
i-0d43add73b3f70746,firefly-workernode-1,10.90.203.97,c5.xlarge
i-091b0c398605e9f07,firefly-workernode-2,10.90.202.165,c5.xlarge
i-05d3e77815171420d,firefly-workernode-3,10.90.203.190,c5.xlarge
i-0f75e1ae03df3f19d,firefly-workernode-4,10.90.203.195,c5.xlarge
i-0e0e105848e634ad5,YTL_Dev-Node1,10.90.202.163,m4.2xlarge
i-0ff21d52e005947cc,YTL_Dev-Node2,10.90.203.91,m4.2xlarge
i-023493367641b0565,YTL_Dev-Node3,10.90.203.189,m4.2xlarge
i-0fc704a076b997465,Jenkins-Master-restore,10.90.203.123,c6i.xlarge
i-0bbdd436ad530e476,VILAAATESTBED01,10.90.202.26,t2.xlarge
i-0da59ef8dd331f884,VILCGNATTESTBED01,10.90.202.32,t2.xlarge
i-0019a3074272e1fd9,intellza-MT-Dev2,10.90.252.31,c6i.2xlarge
i-0c22f63bb006cfc1a,intellza-MT-Dev1,10.90.252.12,c6i.2xlarge
i-05eeb7c2981afdbaf,dMed-Worker,10.90.252.120,m5.2xlarge
i-01c58435b2e4865ca,K8s-RnD-Worker2,10.90.252.94,t2.xlarge
i-0ff81e7e00d5a5ed2,K8s-RnD-Master1,10.90.252.60,t2.large
i-0691067e93db094be,K8s-RnD-Master2,10.90.252.81,t2.large
i-0c136715a766e2ed2,K8s-RnD-Master3,10.90.252.28,t2.large
i-0558e47dcb1a39c61,K8s-RnD-Worker1,10.90.252.5,t2.large
i-0cc93a13ab0348a05,K8s-RnD-LB,10.90.252.86,t2.large
